DepMap ID,KLF5 log2(TPM+1) Expression Public 22Q4,filter,Cell Line Name,Primary Disease, Custom cell line group,Lineage
ACH-000340,1.599317794,1,HS870T,Non-Cancerous,out group,Fibroblast
ACH-002005,1.03562391,1,SKMEL19,Melanoma,out group,Skin
ACH-000758,6.304693557,1,MKN74,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000196,4.704318678,1,HCC1599,Invasive Breast Carcinoma,out group,Breast
ACH-000258,2.153805336,1,DU4475,Invasive Breast Carcinoma,out group,Breast
ACH-000163,1.084064265,1,SW579,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000076,1.709290636,1,NCO2,Myeloproliferative Neoplasms,out group,Myeloid
ACH-000509,1.929790998,1,HUT78,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-001193,1.495695163,1,SKPNDW,Embryonal Tumor,out group,CNS/Brain
ACH-000571,2.304511042,1,T98G,Diffuse Glioma,out group,CNS/Brain
ACH-000391,3.481557281,1,MHHES1,Ewing Sarcoma,out group,Bone
ACH-000293,4.700439718,1,KLE,Endometrial Carcinoma,out group,Uterus
ACH-000532,6.720278465,1,SNU61,Colorectal Adenocarcinoma,in group,Bowel
ACH-000584,5.699329526,1,JHOS4,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-001690,5.411765185,1,UPCISCC026,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000586,5.432959407,1,NCIH1876,Lung Neuroendocrine Tumor,out group,Lung
ACH-000944,0.678071905,1,NAMALWA,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000561,8.425635535,1,TDOTT,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-001648,7.09824268,1,SHMAC4,Prostate Adenocarcinoma,out group,Prostate
ACH-000394,1.070389328,1,NCIH2081,Lung Neuroendocrine Tumor,out group,Lung
ACH-000954,5.862699341,1,HEC1A,Endometrial Carcinoma,out group,Uterus
ACH-000204,3.448900951,1,LP1,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000160,0.084064265,1,BT12,Embryonal Tumor,out group,CNS/Brain
ACH-000989,7.845552775,1,SNU175,Colorectal Adenocarcinoma,in group,Bowel
ACH-001347,6.286141873,1,H157,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000691,1.906890596,1,HCC2157,Invasive Breast Carcinoma,out group,Breast
ACH-000268,7.045705065,1,SNU245,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000119,1.713695815,1,HS863T,Non-Cancerous,out group,Fibroblast
ACH-000379,6.269781238,1,NCIH1781,Non-Small Cell Lung Cancer,out group,Lung
ACH-001341,7.995880188,1,DOTC24510,Mixed Cervical Carcinoma,out group,Cervix
ACH-000714,1.124328135,1,KMS11,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000937,1.704871964,1,PF382,T-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000763,1.176322773,1,MM1S,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-002834,3.384049807,1,PSS131R,Osteosarcoma,out group,Bone
ACH-001673,6.84862294,1,TFK1,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000326,1.599317794,1,JURLMK1,Myeloproliferative Neoplasms,out group,Myeloid
ACH-000300,4.436961338,1,SLR25,Renal Cell Carcinoma,out group,Kidney
ACH-000901,1.469885976,1,HCC1359,Non-Small Cell Lung Cancer,out group,Lung
ACH-000816,1.859969548,1,NCIH524,Lung Neuroendocrine Tumor,out group,Lung
ACH-000641,0.604071324,1,CMK,Acute Myeloid Leukemia,out group,Myeloid
ACH-000511,3.991861931,1,CALU1,Non-Small Cell Lung Cancer,out group,Lung
ACH-000583,0.163498732,1,MC116,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000836,4.282439805,1,YD15,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000975,3.444932049,1,HCC2450,Non-Small Cell Lung Cancer,out group,Lung
ACH-000109,5.753016129,1,NCIH3255,Non-Small Cell Lung Cancer,out group,Lung
ACH-000467,6.338067798,1,HCC56,Colorectal Adenocarcinoma,in group,Bowel
ACH-000712,2.713695815,1,HCC1833,Non-Small Cell Lung Cancer,out group,Lung
ACH-000671,2.411426246,1,HUH6,Hepatoblastoma,out group,Liver
ACH-000523,3.184280294,1,NCIH1184,Lung Neuroendocrine Tumor,out group,Lung
ACH-000864,1.655351829,1,COLO684,Endometrial Carcinoma,out group,Uterus
ACH-000726,7.268658955,1,TE14,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-000136,0.713695815,1,CHP126,Neuroblastoma,out group,Peripheral Nervous System
ACH-002067,2.622930351,1,NOS1,Osteosarcoma,out group,Bone
ACH-000440,0.941106311,1,CA46,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-001461,6.28132733,1,C99,Colorectal Adenocarcinoma,in group,Bowel
ACH-000890,1.735522177,1,SW1271,Lung Neuroendocrine Tumor,out group,Lung
ACH-001692,6.539003674,1,UPCISCC040,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000027,4.480911346,1,GOS3,Diffuse Glioma,out group,CNS/Brain
ACH-000562,5.21023299,1,HCC78,Non-Small Cell Lung Cancer,out group,Lung
ACH-000748,2.485426827,1,SJSA1,Osteosarcoma,out group,Bone
ACH-001669,1.469885976,1,TANOUE,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000834,5.999098034,1,UMUC1,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000565,5.863442934,1,RCM1,Colorectal Adenocarcinoma,in group,Bowel
ACH-000449,0.250961574,1,MESSA,Uterine Sarcoma/Mesenchymal,out group,Uterus
ACH-000399,4.142413438,1,NCIH2196,Lung Neuroendocrine Tumor,out group,Lung
ACH-002080,1.641546029,1,TN2,Neuroblastoma,out group,Peripheral Nervous System
ACH-000770,0.622930351,1,P31FUJ,Acute Myeloid Leukemia,out group,Myeloid
ACH-000710,7.177917792,1,NCIH854,Colorectal Adenocarcinoma,out group,Bowel
ACH-000507,6.189429246,1,KE39,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000066,5.06091205,1,HCC4006,Non-Small Cell Lung Cancer,out group,Lung
ACH-000022,6.567423758,1,PATU8988S,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001668,3.29130886,1,SUSA,Non-Seminomatous Germ Cell Tumor,out group,Testis
ACH-000334,0.298658316,1,DB,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000374,4.675251386,1,HCC1143,Invasive Breast Carcinoma,out group,Breast
ACH-000519,0.59454855,1,PEER,T-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000908,6.257764969,1,SNU520,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-002003,3.933572638,1,A375SKINCJ3,Melanoma,out group,Skin
ACH-000574,3,1,FUOV1,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000148,2.718087584,1,HS578T,Invasive Breast Carcinoma,out group,Breast
ACH-002461,2.40053793,1,RVH421SKINFV1,Melanoma,out group,Skin
ACH-000646,4.760753208,1,OVMANA,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000314,3.030336078,1,HCC2108,Non-Small Cell Lung Cancer,out group,Lung
ACH-000040,1.887525271,1,U118MG,Diffuse Glioma,out group,CNS/Brain
ACH-001057,2.650764559,1,DERL2,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000430,0.773996325,1,TYKNU,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-001041,5.794415866,1,CHL1DM,Melanoma,out group,Skin
ACH-001977,3.887525271,1,NO36,Pleural Mesothelioma,out group,Pleura
ACH-000370,3.039138394,1,SNU626,Diffuse Glioma,out group,CNS/Brain
ACH-001630,4.163498732,1,PEO1,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000437,3.22342255,1,SW1088,Diffuse Glioma,out group,CNS/Brain
ACH-000498,0.443606651,1,KO52,Acute Myeloid Leukemia,out group,Myeloid
ACH-001392,2.604071324,1,SUM185PE,Invasive Breast Carcinoma,out group,Breast
ACH-000503,4.731183242,1,BICR16,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000328,3.5360529,1,LN215,Diffuse Glioma,out group,CNS/Brain
ACH-000403,4.72410452,1,NCIH747,Colorectal Adenocarcinoma,in group,Bowel
ACH-000400,7.302958726,1,SKCO1,Colorectal Adenocarcinoma,in group,Bowel
ACH-000224,2.084064265,1,HS819T,Non-Cancerous,out group,Fibroblast
ACH-000318,5.743353391,1,TE10,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-001430,0.895302621,1,TC138,Ewing Sarcoma,out group,Bone
ACH-000928,5.48864354,1,JHUEM1,Endometrial Carcinoma,out group,Uterus
ACH-000893,4.894332742,1,NCIH1651,Non-Small Cell Lung Cancer,out group,Lung
ACH-000889,1.922197848,1,KMM1,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000799,2.87774425,1,HS695T,Melanoma,out group,Skin
ACH-001623,0.545968369,1,ONDA8,Diffuse Glioma,out group,CNS/Brain
ACH-000736,6.354381632,1,SNU601,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000876,4.017031081,1,MDAMB415,Invasive Breast Carcinoma,out group,Breast
ACH-001232,3.929790998,1,UW228,Embryonal Tumor,out group,CNS/Brain
ACH-001618,1.389566812,1,OCIM2,Acute Myeloid Leukemia,out group,Myeloid
ACH-000235,6.089582893,1,PANC0403,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000381,6.247927513,1,T84,Colorectal Adenocarcinoma,in group,Bowel
ACH-001993,2.14404637,1,NALM16,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-001301,0.50589093,1,COGN278,Neuroblastoma,out group,Peripheral Nervous System
ACH-000854,2.10433666,1,OCIMY5,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000187,1.646162657,1,CORL311,Lung Neuroendocrine Tumor,out group,Lung
ACH-000543,1.14404637,1,SNU489,Diffuse Glioma,out group,CNS/Brain
ACH-000569,2.788685711,1,ISTMES1,Pleural Mesothelioma,out group,Pleura
ACH-000668,6.486714373,1,HCC70,Invasive Breast Carcinoma,out group,Breast
ACH-000134,0.757023247,1,HS274T,Non-Cancerous,out group,Fibroblast
ACH-000924,3.929790998,1,NCIH2172,Non-Small Cell Lung Cancer,out group,Lung
ACH-001450,0.815575429,1,BLUE1,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000296,6.232852592,1,OUMS23,Colorectal Adenocarcinoma,in group,Bowel
ACH-000713,5.565597176,1,CAOV3,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-001360,2.9800253,1,MS751,Cervical Squamous Cell Carcinoma,out group,Cervix
ACH-000273,2.333423734,1,SF539,Diffuse Glioma,out group,CNS/Brain
ACH-001715,3.890446693,1,CAL72,Osteosarcoma,out group,Bone
ACH-001617,0.422233001,1,OCILY7,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000639,2.370164281,1,NCIH211,Lung Neuroendocrine Tumor,out group,Lung
ACH-000590,5.236875245,1,NCIH2073,Non-Small Cell Lung Cancer,out group,Lung
ACH-000553,4.133399125,1,SQ1,Non-Small Cell Lung Cancer,out group,Lung
ACH-000084,3.463360886,1,MUTZ3,Acute Myeloid Leukemia,out group,Myeloid
ACH-000094,6.423914268,1,HPAFII,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000361,0.933572638,1,SKHEP1,Hepatocellular Carcinoma,out group,Liver
ACH-000719,5.978882028,1,RMGI,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-001396,2.498250868,1,SUM52PE,Invasive Breast Carcinoma,out group,Breast
ACH-001848,6.852747965,1,ICC8,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000339,4.793895883,1,HCC461,Non-Small Cell Lung Cancer,out group,Lung
ACH-002048,2.929790998,1,RMSYM,Rhabdomyosarcoma,out group,Soft Tissue
ACH-000218,0.422233001,1,PL21,Acute Myeloid Leukemia,out group,Myeloid
ACH-000789,1.97819563,1,NCIH810,Non-Small Cell Lung Cancer,out group,Lung
ACH-000413,2.017921908,1,HS739T,Non-Cancerous,out group,Fibroblast
ACH-000125,1.655351829,1,TO175T,Non-Cancerous,out group,Fibroblast
ACH-000180,3.142413438,1,HS839T,Non-Cancerous,out group,Fibroblast
ACH-000215,2.831877241,1,LN382,Diffuse Glioma,out group,CNS/Brain
ACH-001001,2.44625623,1,143B,Osteosarcoma,out group,Bone
ACH-000407,3.968090752,1,SNU685,Endometrial Carcinoma,out group,Uterus
ACH-002027,7.009996526,1,HOUAI,Endometrial Carcinoma,out group,Uterus
ACH-001132,0.97819563,1,MTA,T-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-001278,7.253327501,1,BIN67,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000032,0.485426827,1,MHHCALL3,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-001419,4.912649865,1,VP229,Invasive Breast Carcinoma,out group,Breast
ACH-000494,4.173926932,1,OELE,Non-Cancerous,out group,Ovary/Fallopian Tube
ACH-000865,6.507318948,1,KYSE450,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-000439,0.124328135,1,ME1,Acute Myeloid Leukemia,out group,Myeloid
ACH-001523,6.983107617,1,HSC1,Cutaneous Squamous Cell Carcinoma,out group,Skin
ACH-000024,2.220329955,1,OPM2,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000674,7.69474093,1,NUGC4,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000670,1.372952098,1,SBC5,Lung Neuroendocrine Tumor,out group,Lung
ACH-000599,4.77925972,1,PATU8902,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000263,0.98550043,1,KASUMI1,Acute Myeloid Leukemia,out group,Myeloid
ACH-000303,5.49441561,1,SNU5,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-001551,3.704871964,1,MCC142,Merkel Cell Carcinoma,out group,Skin
ACH-000793,7.35948603,1,KATOIII,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-002511,4.523561956,1,M140325,Melanoma,out group,Skin
ACH-000286,5.466300829,1,SNU1033,Colorectal Adenocarcinoma,in group,Bowel
ACH-000250,2.007195501,1,KMRC20,Renal Cell Carcinoma,out group,Kidney
ACH-000299,0.799087306,1,HNT34,Acute Myeloid Leukemia,out group,Myeloid
ACH-000139,5.607330314,1,PANC0327,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001735,0.941106311,1,SEMK2,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-001389,1.049630768,1,SUM1315MO2,Invasive Breast Carcinoma,out group,Breast
ACH-001183,6.759821621,1,RT11284,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000551,0.847996907,1,K562,Myeloproliferative Neoplasms,out group,Myeloid
ACH-001163,6.872213144,1,CCLFPEDS0001T,Renal Cell Carcinoma,out group,Kidney
ACH-000037,1.286881148,1,S117,"Sarcoma, NOS",out group,Soft Tissue
ACH-000744,5.073820233,1,NCIH1623,Non-Small Cell Lung Cancer,out group,Lung
ACH-000420,3.720278465,1,SNU449,Hepatocellular Carcinoma,out group,Liver
ACH-000336,0.40053793,1,OCIAML3,Acute Myeloid Leukemia,out group,Myeloid
ACH-000486,5.048759312,1,KU1919,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000679,7.195347598,1,OE19,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-001557,5.303780748,1,MERO41,Pleural Mesothelioma,out group,Pleura
ACH-000247,7.078631181,1,OCUM1,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000947,0.565597176,1,OVK18,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000807,4.926473911,1,SNU738,Diffuse Glioma,out group,CNS/Brain
ACH-000476,1.22650853,1,JHH4,Hepatocellular Carcinoma,out group,Liver
ACH-000525,1.269033146,1,NCIH2171,Lung Neuroendocrine Tumor,out group,Lung
ACH-001148,0.807354922,1,OCILY132,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000853,3.269033146,1,NCIH661,Non-Small Cell Lung Cancer,out group,Lung
ACH-000083,2.97819563,1,HS281T,Non-Cancerous,out group,Fibroblast
ACH-000479,4.13996057,1,KNS81,Diffuse Glioma,out group,CNS/Brain
ACH-000230,1.367371066,1,HS742T,Non-Cancerous,out group,Fibroblast
ACH-001664,5.067810784,1,SNU638,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000955,7.164806387,1,SNU407,Colorectal Adenocarcinoma,in group,Bowel
ACH-000049,2.307428525,1,HEKTE,Non-Cancerous,out group,Kidney
ACH-000675,5.624393382,1,NCIH1734,Non-Small Cell Lung Cancer,out group,Lung
ACH-000199,3.370164281,1,HS255T,Non-Cancerous,out group,Fibroblast
ACH-000193,0.731183242,1,KARPAS620,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000538,2.140778656,1,HUTU80,Small Bowel Cancer,out group,Bowel
ACH-001647,1.952333566,1,SHI1,Acute Myeloid Leukemia,out group,Myeloid
ACH-001649,6.649471757,1,SHMAC5,Prostate Adenocarcinoma,out group,Prostate
ACH-000155,4.61999983,1,SW1990,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000270,7.336908182,1,HPAC,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000683,7.315330737,1,SNU503,Colorectal Adenocarcinoma,in group,Bowel
ACH-002017,2.809414444,1,OMM1,Ocular Melanoma,out group,Eye
ACH-000655,3.830863757,1,SF268,Diffuse Glioma,out group,CNS/Brain
ACH-000145,2.111031312,1,SKLMS1,Leiomyosarcoma,out group,Soft Tissue
ACH-001495,2.073820233,1,EMTOKA,Endometrial Carcinoma,out group,Uterus
ACH-000188,4.375734539,1,SCC25,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000080,1.250961574,1,BDCM,Acute Myeloid Leukemia,out group,Myeloid
ACH-000146,1.09085343,1,THP1,Acute Myeloid Leukemia,out group,Myeloid
ACH-000415,5.019701914,1,BICR6,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-001518,4.21023299,1,HEC116,Endometrial Carcinoma,out group,Uterus
ACH-000891,4.241077458,1,HCC1438,Non-Small Cell Lung Cancer,out group,Lung
ACH-001625,5.618238656,1,OSC19,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000895,7.87282876,1,CL34,Colorectal Adenocarcinoma,in group,Bowel
ACH-000851,4.839959587,1,MORCPR,Non-Small Cell Lung Cancer,out group,Lung
ACH-000824,5.460742564,1,KYSE510,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-000506,3.252476214,1,NCIH146,Lung Neuroendocrine Tumor,out group,Lung
ACH-000540,2.650764559,1,HS606T,Non-Cancerous,out group,Fibroblast
ACH-000061,1.526068812,1,HH,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000185,3.61117238,1,HS737T,Non-Cancerous,out group,Fibroblast
ACH-000568,4.123500664,1,UACC812,Invasive Breast Carcinoma,out group,Breast
ACH-000707,0.50589093,1,P3HR1,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000603,1.604071324,1,BEN,Non-Small Cell Lung Cancer,out group,Lung
ACH-000983,1.604071324,1,KCL22,Myeloproliferative Neoplasms,out group,Myeloid
ACH-000541,0.992768431,1,KMS34,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000680,6.760620161,1,SW948,Colorectal Adenocarcinoma,in group,Bowel
ACH-002460,2.44625623,1,HT144SKINFV2,Melanoma,out group,Skin
ACH-000111,2.657640005,1,HCC1187,Invasive Breast Carcinoma,out group,Breast
ACH-002463,2.15704371,1,RPE1SS77,Non-Cancerous,out group,Eye
ACH-000369,0.321928095,1,MOLM16,Acute Myeloid Leukemia,out group,Myeloid
ACH-000618,6.993108222,1,SNU1041,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000470,6.28281044,1,SW1463,Colorectal Adenocarcinoma,in group,Bowel
ACH-002039,7.972692654,1,PK8,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000118,5.276496666,1,HUPT3,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000614,2.570462931,1,RVH421,Melanoma,out group,Skin
ACH-001338,0.555816155,1,CHP134,Neuroblastoma,out group,Peripheral Nervous System
ACH-000432,0.286881148,1,BV173,Myeloproliferative Neoplasms,out group,Myeloid
ACH-000556,6.129283017,1,SIHA,Cervical Squamous Cell Carcinoma,out group,Cervix
ACH-001804,0.111031312,1,LPS510,Liposarcoma,out group,Soft Tissue
ACH-001386,2.286881148,1,SCLC22H,Lung Neuroendocrine Tumor,out group,Lung
ACH-001060,1.378511623,1,DL40,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-001525,6.093602429,1,HT3,Cervical Adenocarcinoma,out group,Cervix
ACH-001539,0.070389328,1,KML1,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000014,3.29130886,1,HS294T,Melanoma,out group,Skin
ACH-002785,3.195347598,1,NCCLMS1C1,Leiomyosarcoma,out group,Soft Tissue
ACH-000637,6.689718488,1,KYSE520,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-002693,1.422233001,1,S462,Nerve Sheath Tumor,out group,Peripheral Nervous System
ACH-000455,1.608809243,1,LN428,Diffuse Glioma,out group,CNS/Brain
ACH-000389,3.788685711,1,H4,Diffuse Glioma,out group,CNS/Brain
ACH-002710,2.869871406,1,MPNST724,Nerve Sheath Tumor,out group,Peripheral Nervous System
ACH-000129,6.020368851,1,NCIH1341,Lung Neuroendocrine Tumor,out group,Lung
ACH-000490,6.564530601,1,SF767,Cervical Squamous Cell Carcinoma,out group,Cervix
ACH-000434,3.544732656,1,NCIH1915,Non-Small Cell Lung Cancer,out group,Lung
ACH-001086,5.530133184,1,HELA,Cervical Adenocarcinoma,out group,Cervix
ACH-002042,4.886550147,1,T3M5,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000597,2.998195503,1,TTC709,Embryonal Tumor,out group,CNS/Brain
ACH-000756,2.397802962,1,GI1,Diffuse Glioma,out group,CNS/Brain
ACH-000396,4.488000771,1,J82,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000089,6.942397208,1,NCIH684,Colorectal Adenocarcinoma,in group,Bowel
ACH-000371,0.367371066,1,RL,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000265,1.580145484,1,KP4,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000132,4.807870078,1,JHOS2,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000216,5.753818443,1,JHESOAD1,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000613,4.388189537,1,HOS,Osteosarcoma,out group,Bone
ACH-000855,4.859472667,1,KYSE150,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-000906,0.855989697,1,ES2,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000348,1.956056652,1,RPMI7951,Melanoma,out group,Skin
ACH-001100,0.097610797,1,KHYG1,T-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000238,6.21023299,1,SCC4,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000237,4.72410452,1,JHOM1,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000393,2.070389328,1,HLF,Hepatocellular Carcinoma,out group,Liver
ACH-000623,1.275007047,1,SNU201,Diffuse Glioma,out group,CNS/Brain
ACH-000359,3.114367025,1,MG63,Osteosarcoma,out group,Bone
ACH-001028,0.163498732,1,CHLA06ATRT,Embryonal Tumor,out group,CNS/Brain
ACH-000621,2.097610797,1,MDAMB157,Invasive Breast Carcinoma,out group,Breast
ACH-001641,7.948600847,1,SAT,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000056,0.454175893,1,DOHH2,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000483,4.752748591,1,SNU182,Hepatocellular Carcinoma,out group,Liver
ACH-000514,3.3305584,1,NCIH1092,Lung Neuroendocrine Tumor,out group,Lung
ACH-000051,3.931683057,1,TE617T,Rhabdomyosarcoma,out group,Soft Tissue
ACH-000043,1.906890596,1,HS895T,Non-Cancerous,out group,Fibroblast
ACH-000936,5.729280846,1,EFO27,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000716,4.539779192,1,TT2609C02,Well-Differentiated Thyroid Cancer,out group,Thyroid
ACH-000988,5.128045891,1,MFE319,Endometrial Carcinoma,out group,Uterus
ACH-000952,5.324090516,1,MDAPCA2B,Prostate Adenocarcinoma,out group,Prostate
ACH-001350,3.451540833,1,HTCC3,Anaplastic Thyroid Cancer,out group,Thyroid
ACH-000065,1.350497247,1,OCIAML5,Acute Myeloid Leukemia,out group,Myeloid
ACH-000609,3.375734539,1,SF126,Diffuse Glioma,out group,CNS/Brain
ACH-001411,6.323009711,1,UMUC5,Bladder Squamous Cell Carcinoma,out group,Bladder/Urinary Tract
ACH-000504,4.571069998,1,SNB75,Diffuse Glioma,out group,CNS/Brain
ACH-000956,3.54225805,1,22RV1,Prostate Adenocarcinoma,out group,Prostate
ACH-001712,1.790772038,1,HS860T,Osteosarcoma,out group,Bone
ACH-000652,7.358167658,1,SUIT2,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000414,5.799346388,1,NCIH1944,Non-Small Cell Lung Cancer,out group,Lung
ACH-000472,5.851499202,1,HSC2,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000007,6.938873855,1,LS513,Colorectal Adenocarcinoma,in group,Bowel
ACH-000446,1.176322773,1,KPNSI9S,Neuroblastoma,out group,Peripheral Nervous System
ACH-000386,1.021479727,1,KG1,Acute Myeloid Leukemia,out group,Myeloid
ACH-001850,5.77452353,1,G415,Intracholecystic Papillary Neoplasm,out group,Biliary Tract
ACH-000755,3.195347598,1,HCC2218,Breast Ductal Carcinoma In Situ,out group,Breast
ACH-000028,2.553360503,1,KPL1,Invasive Breast Carcinoma,out group,Breast
ACH-000665,2.14404637,1,SKMES1,Non-Small Cell Lung Cancer,out group,Lung
ACH-000078,0.286881148,1,MHHNB11,Neuroblastoma,out group,Peripheral Nervous System
ACH-002046,1.678071905,1,HTMMT,Endometrial Carcinoma,out group,Uterus
ACH-000397,4.418189948,1,TEN,Endometrial Carcinoma,out group,Uterus
ACH-000229,3.132576843,1,HS822T,Non-Cancerous,out group,Fibroblast
ACH-000518,5.738767837,1,CAL33,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-001566,2.541019153,1,MM370,Melanoma,out group,Skin
ACH-000252,6.773600795,1,LS1034,Colorectal Adenocarcinoma,in group,Bowel
ACH-000572,3.314696526,1,G361,Melanoma,out group,Skin
ACH-001605,3.307428525,1,NO10,Diffuse Glioma,out group,CNS/Brain
ACH-000277,4.95419631,1,HCC1419,Invasive Breast Carcinoma,out group,Breast
ACH-001239,1.09085343,1,WM2664,Melanoma,out group,Skin
ACH-000786,0.411426246,1,DAUDI,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000803,4.915042791,1,COLO668,Lung Neuroendocrine Tumor,out group,Lung
ACH-001970,0.97819563,1,MM253,Melanoma,out group,Skin
