Pair,Count (All features),Count (Top-five),Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
KIRP-2q,8,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0
LAML-2q,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
LGG-2q,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
LIHC-2q,5,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
LUAD-2q,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
LUSC-2q,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
OV-2q,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PAAD-2q,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAD-2q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKCM-2q,5,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
STAD-2q,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
TGCT-2q,5,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
THYM-2q,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
UCEC-2q,5,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
UCS-2q,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC-8p,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GBM-8p,6,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
KICH-8p,7,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0
KIRP-8p,7,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0
LAML-8p,5,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
LGG-8p,6,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
SKCM-8p,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
STAD-8p,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
TGCT-8p,5,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
THYM-8p,6,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
UCEC-8p,8,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
ACC-3q,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
BLCA-3q,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
BRCA-3q,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
CESC-3q,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COAD-3q,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
ESCA-3q,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
GBM-3q,5,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0
KICH-3q,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
KIRP-3q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LAML-3q,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
LGG-3q,4,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
LIHC-3q,8,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0
LUSC-3q,7,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
OV-3q,5,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
PAAD-3q,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
PRAD-3q,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SKCM-3q,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
STAD-3q,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
TGCT-3q,6,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
THYM-3q,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
UCEC-3q,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
UCS-3q,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
ACC-17p,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GBM-17p,4,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
KIRC-17p,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KIRP-17p,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LGG-17p,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TGCT-17p,5,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
ACC-19q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA-19q,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BRCA-19q,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CESC-19q,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COAD-19q,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GBM-19q,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
KICH-19q,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
KIRC-19q,6,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
KIRP-19q,5,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
LAML-19q,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
LIHC-19q,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
LUSC-19q,6,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
PAAD-19q,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PRAD-19q,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SKCM-19q,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
THYM-19q,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCEC-19q,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
UCS-19q,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ACC-16p,4,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
BRCA-16p,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
CESC-16p,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
COAD-16p,6,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1
ESCA-16p,6,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
GBM-16p,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KICH-16p,6,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
KIRC-16p,5,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
KIRP-16p,5,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
LAML-16p,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LGG-16p,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LUAD-16p,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LUSC-16p,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
PAAD-16p,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PRAD-16p,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SKCM-16p,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TGCT-16p,6,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
THYM-16p,6,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
ACC-19p,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
BLCA-19p,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BRCA-19p,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
COAD-19p,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
GBM-19p,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
KICH-19p,5,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
KIRC-19p,6,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
KIRP-19p,6,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
LAML-19p,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
LGG-19p,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
LIHC-19p,10,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0
PAAD-19p,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
PRAD-19p,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
SKCM-19p,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
THYM-19p,8,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
UCEC-19p,6,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
UCS-19p,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
ACC-4q,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GBM-4q,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
KICH-4q,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
KIRC-4q,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
KIRP-4q,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
LAML-4q,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LUAD-4q,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
PAAD-4q,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
PRAD-4q,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
SKCM-4q,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
THYM-4q,4,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACC-12q,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BLCA-12q,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BRCA-12q,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CESC-12q,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COAD-12q,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESCA-12q,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GBM-12q,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
KICH-12q,5,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
KIRC-12q,6,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
KIRP-12q,6,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
LAML-12q,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LIHC-12q,6,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
LUAD-12q,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
LUSC-12q,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
OV-12q,4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
PAAD-12q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAD-12q,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SKCM-12q,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAD-12q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGCT-12q,7,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
THYM-12q,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UCEC-12q,5,2,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
UCS-12q,6,2,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
ACC-9p,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CESC-9p,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
COAD-9p,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
KICH-9p,6,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
KIRP-9p,6,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
LAML-9p,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRAD-9p,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
THYM-9p,7,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
ACC-11p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAD-11p,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ESCA-11p,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
KICH-11p,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KIRC-11p,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KIRP-11p,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LAML-11p,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LIHC-11p,6,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
LUAD-11p,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
LUSC-11p,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
OV-11p,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
PAAD-11p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAD-11p,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
STAD-11p,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
THYM-11p,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCS-11p,7,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
BLCA-13q,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COAD-13q,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
KIRC-13q,5,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
KIRP-13q,5,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
LAML-13q,5,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
PAAD-13q,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SKCM-13q,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
STAD-13q,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ACC-14q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CESC-14q,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESCA-14q,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KICH-14q,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
LAML-14q,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LUAD-14q,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
PAAD-14q,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAD-14q,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGCT-14q,6,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
THYM-14q,7,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
UCEC-14q,4,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UCS-14q,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACC-5q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CESC-5q,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GBM-5q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KICH-5q,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KIRC-5q,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KIRP-5q,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LAML-5q,5,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
LGG-5q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LIHC-5q,6,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
PAAD-5q,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRAD-5q,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
THYM-5q,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCS-5q,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ACC-8q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA-8q,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BRCA-8q,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
CESC-8q,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
COAD-8q,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
ESCA-8q,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
GBM-8q,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
KICH-8q,5,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
KIRP-8q,5,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
LAML-8q,5,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
LGG-8q,5,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
LIHC-8q,5,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
LUAD-8q,6,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
LUSC-8q,6,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
OV-8q,9,2,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0
PAAD-8q,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
PRAD-8q,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
SKCM-8q,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
STAD-8q,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
TGCT-8q,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
THYM-8q,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
UCEC-8q,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
UCS-8q,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KICH-22q,4,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
KIRC-22q,4,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
LAML-22q,5,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
LIHC-22q,6,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
LUSC-22q,6,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
SKCM-22q,6,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
TGCT-22q,7,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
ACC-9q,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CESC-9q,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COAD-9q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KICH-9q,6,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
KIRP-9q,6,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
LAML-9q,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAD-9q,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
THYM-9q,6,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
ACC-10q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRCA-10q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAD-10q,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESCA-10q,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KIRP-10q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAML-10q,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUAD-10q,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
OV-10q,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
PAAD-10q,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
STAD-10q,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
THYM-10q,4,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCEC-10q,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UCS-10q,4,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ACC-10p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA-10p,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BRCA-10p,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CESC-10p,7,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
COAD-10p,4,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ESCA-10p,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KIRC-10p,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
KIRP-10p,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
LAML-10p,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
LIHC-10p,8,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0
LUAD-10p,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
OV-10p,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
PAAD-10p,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
PRAD-10p,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
STAD-10p,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
THYM-10p,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
UCEC-10p,6,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
ACC-18p,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
BLCA-18p,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
